,class
865,b'0'
1447,b'0'
3251,b'0'
3985,b'0'
1182,b'0'
3385,b'0'
3714,b'0'
4267,b'0'
3870,b'0'
5892,b'1'
5889,b'1'
5351,b'0'
5563,b'1'
3844,b'0'
1339,b'0'
4829,b'0'
5848,b'1'
1223,b'0'
3500,b'0'
2793,b'0'
4542,b'0'
5342,b'0'
3223,b'0'
4544,b'0'
663,b'0'
368,b'0'
647,b'0'
582,b'0'
2120,b'0'
3585,b'0'
3347,b'0'
4875,b'0'
2080,b'0'
604,b'0'
5881,b'1'
3027,b'0'
2054,b'0'
2194,b'0'
739,b'0'
1964,b'0'
5378,b'0'
2868,b'0'
2750,b'0'
407,b'0'
1095,b'0'
3635,b'0'
2467,b'0'
5288,b'0'
1439,b'0'
2040,b'0'
495,b'0'
4559,b'0'
4907,b'0'
181,b'0'
76,b'0'
4270,b'0'
1336,b'0'
3190,b'0'
2940,b'0'
3809,b'0'
4551,b'0'
5215,b'0'
186,b'0'
4110,b'0'
80,b'0'
3065,b'0'
4137,b'0'
452,b'0'
1882,b'0'
4673,b'0'
4283,b'0'
2181,b'0'
2621,b'0'
1081,b'0'
1585,b'0'
175,b'0'
2684,b'0'
2407,b'0'
1851,b'0'
3753,b'0'
2459,b'0'
595,b'0'
5723,b'1'
5168,b'0'
4888,b'0'
4792,b'0'
3700,b'0'
4395,b'0'
683,b'0'
2929,b'0'
4087,b'0'
3720,b'0'
806,b'0'
5363,b'0'
2829,b'0'
1719,b'0'
2561,b'0'
240,b'0'
2796,b'0'
3677,b'0'
448,b'0'
2557,b'0'
5372,b'0'
1992,b'0'
4029,b'0'
5497,b'0'
1411,b'0'
5237,b'0'
5025,b'0'
5254,b'0'
2997,b'0'
953,b'0'
309,b'0'
2310,b'0'
5201,b'0'
3242,b'0'
4269,b'0'
22,b'0'
729,b'0'
4392,b'0'
2326,b'0'
1858,b'0'
5614,b'1'
2574,b'0'
5129,b'0'
4711,b'0'
3318,b'0'
589,b'0'
5352,b'0'
3346,b'0'
4768,b'0'
4636,b'0'
496,b'0'
5746,b'1'
3830,b'0'
2575,b'0'
2526,b'0'
5188,b'0'
404,b'0'
4946,b'0'
4893,b'0'
1341,b'0'
2175,b'0'
2502,b'0'
1880,b'0'
3811,b'0'
237,b'0'
135,b'0'
1086,b'0'
3066,b'0'
180,b'0'
3767,b'0'
4285,b'0'
5320,b'0'
4987,b'0'
5717,b'1'
1754,b'0'
5491,b'0'
3520,b'0'
2602,b'0'
4596,b'0'
3119,b'0'
4638,b'0'
3512,b'0'
3358,b'0'
5743,b'1'
3414,b'0'
2139,b'0'
5156,b'0'
1772,b'0'
1726,b'0'
5276,b'0'
5076,b'0'
2105,b'0'
1093,b'0'
4183,b'0'
336,b'0'
235,b'0'
5845,b'1'
987,b'0'
3676,b'0'
2092,b'0'
4286,b'0'
1766,b'0'
2694,b'0'
1310,b'0'
71,b'0'
2971,b'0'
4921,b'0'
3784,b'0'
1883,b'0'
274,b'0'
1653,b'0'
1575,b'0'
5681,b'1'
2076,b'0'
1502,b'0'
3415,b'0'
3502,b'0'
5884,b'1'
4982,b'0'
1090,b'0'
68,b'0'
2276,b'0'
2115,b'0'
2466,b'0'
1956,b'0'
4185,b'0'
204,b'0'
2463,b'0'
1104,b'0'
4310,b'0'
2653,b'0'
5019,b'0'
2821,b'0'
770,b'0'
535,b'0'
2592,b'0'
5525,b'1'
1252,b'0'
4975,b'0'
5316,b'0'
294,b'0'
3587,b'0'
468,b'0'
5617,b'1'
3989,b'0'
5429,b'0'
3360,b'0'
3402,b'0'
2936,b'0'
1308,b'0'
2363,b'0'
5641,b'1'
5026,b'0'
931,b'0'
2742,b'0'
3468,b'0'
3731,b'0'
2380,b'0'
830,b'0'
2901,b'0'
1189,b'0'
3584,b'0'
1803,b'0'
3719,b'0'
3422,b'0'
1491,b'0'
107,b'0'
4728,b'0'
482,b'0'
1237,b'0'
3503,b'0'
4190,b'0'
3322,b'0'
2699,b'0'
4408,b'0'
4404,b'0'
1761,b'0'
3701,b'0'
1026,b'0'
1352,b'0'
869,b'0'
1057,b'0'
4071,b'0'
128,b'0'
3787,b'0'
1603,b'0'
1776,b'0'
3453,b'0'
2682,b'0'
2176,b'0'
5024,b'0'
633,b'0'
459,b'0'
2588,b'0'
575,b'0'
1320,b'0'
3481,b'0'
3272,b'0'
4431,b'0'
3277,b'0'
1765,b'0'
5306,b'0'
1457,b'0'
2800,b'0'
5591,b'1'
4258,b'0'
5643,b'1'
4229,b'0'
841,b'0'
825,b'0'
5109,b'0'
5589,b'1'
2208,b'0'
808,b'0'
1484,b'0'
4022,b'0'
2025,b'0'
3337,b'0'
2861,b'0'
689,b'0'
3808,b'0'
2703,b'0'
1739,b'0'
147,b'0'
870,b'0'
1534,b'0'
3287,b'0'
2837,b'0'
1169,b'0'
2686,b'0'
1228,b'0'
5038,b'0'
4516,b'0'
3316,b'0'
4863,b'0'
781,b'0'
4411,b'0'
3729,b'0'
4979,b'0'
3666,b'0'
4942,b'0'
3075,b'0'
4346,b'0'
5431,b'0'
3745,b'0'
2160,b'0'
1703,b'0'
1782,b'0'
2661,b'0'
1697,b'0'
5784,b'1'
3930,b'0'
142,b'0'
1317,b'0'
1696,b'0'
571,b'0'
108,b'0'
4993,b'0'
682,b'0'
5114,b'0'
498,b'0'
3536,b'0'
1966,b'0'
4293,b'0'
5205,b'0'
512,b'0'
1970,b'0'
5307,b'0'
2282,b'0'
1621,b'0'
1871,b'0'
1914,b'0'
608,b'0'
5771,b'1'
3917,b'0'
1510,b'0'
4887,b'0'
1162,b'0'
2155,b'0'
3741,b'0'
2397,b'0'
3994,b'0'
3550,b'0'
3307,b'0'
4804,b'0'
438,b'0'
3865,b'0'
3474,b'0'
1198,b'0'
703,b'0'
4115,b'0'
1179,b'0'
4063,b'0'
96,b'0'
4981,b'0'
2504,b'0'
2253,b'0'
1530,b'0'
592,b'0'
5087,b'0'
5547,b'1'
477,b'0'
3680,b'0'
352,b'0'
5280,b'0'
2118,b'0'
275,b'0'
786,b'0'
1460,b'0'
1159,b'0'
4245,b'0'
5558,b'1'
4160,b'0'
29,b'0'
3332,b'0'
2984,b'0'
1052,b'0'
1263,b'0'
5472,b'0'
1335,b'0'
5566,b'1'
3156,b'0'
353,b'0'
2897,b'0'
1936,b'0'
539,b'0'
4603,b'0'
1590,b'0'
3315,b'0'
2904,b'0'
3256,b'0'
440,b'0'
194,b'0'
1802,b'0'
1591,b'0'
986,b'0'
4275,b'0'
4794,b'0'
4134,b'0'
1232,b'0'
3304,b'0'
2594,b'0'
3493,b'0'
5081,b'0'
4194,b'0'
4654,b'0'
752,b'0'
310,b'0'
5211,b'0'
3034,b'0'
4249,b'0'
2710,b'0'
4757,b'0'
5604,b'1'
79,b'0'
1035,b'0'
4821,b'0'
4734,b'0'
2744,b'0'
817,b'0'
1305,b'0'
2938,b'0'
19,b'0'
5763,b'1'
2340,b'0'
5754,b'1'
2007,b'0'
668,b'0'
1563,b'0'
4956,b'0'
2452,b'0'
1194,b'0'
1298,b'0'
5309,b'0'
3275,b'0'
3382,b'0'
591,b'0'
4451,b'0'
5698,b'1'
686,b'0'
777,b'0'
2716,b'0'
4541,b'0'
41,b'0'
2513,b'0'
1087,b'0'
2723,b'0'
4801,b'0'
1623,b'0'
4883,b'0'
1656,b'0'
5686,b'1'
3712,b'0'
78,b'0'
4480,b'0'
3877,b'0'
1647,b'0'
3205,b'0'
3082,b'0'
2628,b'0'
2761,b'0'
2930,b'0'
4135,b'0'
3728,b'0'
959,b'0'
4047,b'0'
4475,b'0'
974,b'0'
3873,b'0'
2127,b'0'
3607,b'0'
3288,b'0'
3134,b'0'
1626,b'0'
5083,b'0'
460,b'0'
3331,b'0'
3785,b'0'
16,b'0'
1388,b'0'
1347,b'0'
2836,b'0'
1520,b'0'
158,b'0'
1395,b'0'
435,b'0'
5075,b'0'
2797,b'0'
3300,b'0'
2505,b'0'
3702,b'0'
1734,b'0'
3756,b'0'
1566,b'0'
4886,b'0'
3411,b'0'
4646,b'0'
5664,b'1'
325,b'0'
40,b'0'
377,b'0'
1373,b'0'
2617,b'0'
3684,b'0'
657,b'0'
4847,b'0'
234,b'0'
2382,b'0'
5890,b'1'
5494,b'0'
1366,b'0'
3247,b'0'
5603,b'1'
1138,b'0'
2402,b'0'
4593,b'0'
339,b'0'
472,b'0'
549,b'0'
3973,b'0'
5689,b'1'
1565,b'0'
4937,b'0'
5709,b'1'
4321,b'0'
5803,b'1'
2379,b'0'
3616,b'0'
3472,b'0'
2649,b'0'
2304,b'0'
2668,b'0'
2597,b'0'
2874,b'0'
1291,b'0'
2888,b'0'
2039,b'0'
5551,b'1'
4360,b'0'
2813,b'0'
2116,b'0'
1854,b'0'
2410,b'0'
1600,b'0'
2229,b'0'
4280,b'0'
3374,b'0'
3610,b'0'
5495,b'0'
1945,b'0'
1279,b'0'
949,b'0'
2564,b'0'
4423,b'0'
5117,b'0'
5725,b'1'
5216,b'0'
3323,b'0'
4606,b'0'
4362,b'0'
5226,b'0'
960,b'0'
3626,b'0'
2486,b'0'
4852,b'0'
3847,b'0'
36,b'0'
4717,b'0'
1119,b'0'
4348,b'0'
3555,b'0'
242,b'0'
5712,b'1'
5021,b'0'
1239,b'0'
2193,b'0'
2655,b'0'
3887,b'0'
4890,b'0'
5699,b'1'
5594,b'1'
5810,b'1'
2717,b'0'
320,b'0'
1414,b'0'
1160,b'0'
1195,b'0'
2980,b'0'
2599,b'0'
1527,b'0'
410,b'0'
5484,b'0'
4035,b'0'
3771,b'0'
1171,b'0'
4816,b'0'
1542,b'0'
5199,b'0'
3497,b'0'
105,b'0'
4521,b'0'
899,b'0'
5703,b'1'
1598,b'0'
211,b'0'
3929,b'0'
1307,b'0'
2941,b'0'
504,b'0'
4923,b'0'
4041,b'0'
3933,b'0'
2918,b'0'
216,b'0'
164,b'0'
3999,b'0'
3820,b'0'
3024,b'0'
3364,b'0'
4933,b'0'
453,b'0'
3515,b'0'
924,b'0'
820,b'0'
1755,b'0'
4796,b'0'
4818,b'0'
2057,b'0'
5432,b'0'
5642,b'1'
1205,b'0'
2607,b'0'
2866,b'0'
619,b'0'
2477,b'0'
1141,b'0'
2195,b'0'
4647,b'0'
2119,b'0'
939,b'0'
3596,b'0'
3885,b'0'
5678,b'1'
1010,b'0'
2492,b'0'
3460,b'0'
1960,b'0'
2914,b'0'
1981,b'0'
3252,b'0'
382,b'0'
4032,b'0'
999,b'0'
3765,b'0'
2822,b'0'
3541,b'0'
2373,b'0'
2437,b'0'
4002,b'0'
1820,b'0'
4299,b'0'
1784,b'0'
2078,b'0'
5062,b'0'
3605,b'0'
1410,b'0'
628,b'0'
833,b'0'
3085,b'0'
3801,b'0'
358,b'0'
3312,b'0'
5070,b'0'
837,b'0'
2556,b'0'
1852,b'0'
5836,b'1'
196,b'0'
1253,b'0'
1344,b'0'
4051,b'0'
862,b'0'
319,b'0'
2654,b'0'
4268,b'0'
1135,b'0'
5849,b'1'
696,b'0'
3916,b'0'
2922,b'0'
661,b'0'
5774,b'1'
1619,b'0'
1059,b'0'
632,b'0'
2890,b'0'
3250,b'0'
2164,b'0'
687,b'0'
3957,b'0'
1021,b'0'
3740,b'0'
2634,b'0'
702,b'0'
2697,b'0'
4564,b'0'
2650,b'0'
3905,b'0'
5909,b'1'
4635,b'0'
2780,b'0'
2674,b'0'
5196,b'0'
2928,b'0'
2488,b'0'
2000,b'0'
2514,b'0'
391,b'0'
1444,b'0'
2944,b'0'
978,b'0'
4094,b'0'
5578,b'1'
2245,b'0'
3435,b'0'
4860,b'0'
5034,b'0'
3243,b'0'
1538,b'0'
2801,b'0'
1904,b'0'
2781,b'0'
1315,b'0'
2747,b'0'
3051,b'0'
5867,b'1'
2673,b'0'
3465,b'0'
3499,b'0'
1678,b'0'
1667,b'0'
3000,b'0'
3285,b'0'
2640,b'0'
4218,b'0'
863,b'0'
4785,b'0'
1390,b'0'
491,b'0'
5403,b'0'
2272,b'0'
707,b'0'
192,b'0'
4621,b'0'
2559,b'0'
155,b'0'
3897,b'0'
5653,b'1'
5329,b'0'
413,b'0'
4722,b'0'
4436,b'0'
3693,b'0'
1609,b'0'
2779,b'0'
3471,b'0'
4949,b'0'
4587,b'0'
1649,b'0'
4909,b'0'
4793,b'0'
2966,b'0'
3651,b'0'
3689,b'0'
4649,b'0'
1839,b'0'
4773,b'0'
3071,b'0'
2494,b'0'
1519,b'0'
5463,b'0'
1576,b'0'
3320,b'0'
4262,b'0'
4173,b'0'
5007,b'0'
3652,b'0'
2580,b'0'
2205,b'0'
1977,b'0'
3384,b'0'
2961,b'0'
580,b'0'
1434,b'0'
764,b'0'
8,b'0'
494,b'0'
530,b'0'
654,b'0'
5259,b'0'
3192,b'0'
4739,b'0'
4089,b'0'
1564,b'0'
4265,b'0'
4459,b'0'
4692,b'0'
1324,b'0'
27,b'0'
3345,b'0'
3814,b'0'
2495,b'0'
1217,b'0'
10,b'0'
1060,b'0'
2516,b'0'
812,b'0'
1292,b'0'
9,b'0'
1166,b'0'
979,b'0'
4891,b'0'
2111,b'0'
3582,b'0'
3825,b'0'
1220,b'0'
1115,b'0'
5321,b'0'
4721,b'0'
5444,b'0'
401,b'0'
1639,b'0'
4203,b'0'
5191,b'0'
3922,b'0'
5476,b'0'
1620,b'0'
1109,b'0'
5569,b'1'
182,b'0'
3232,b'0'
1281,b'0'
2487,b'0'
3678,b'0'
3136,b'0'
4930,b'0'
2259,b'0'
4018,b'0'
3163,b'0'
388,b'0'
271,b'0'
2117,b'0'
297,b'0'
1192,b'0'
1058,b'0'
2507,b'0'
4124,b'0'
2788,b'0'
2598,b'0'
5260,b'0'
4057,b'0'
5780,b'1'
2416,b'0'
2623,b'0'
1427,b'0'
4835,b'0'
1001,b'0'
4935,b'0'
4694,b'0'
3752,b'0'
4594,b'0'
1796,b'0'
5138,b'0'
4753,b'0'
5905,b'1'
2990,b'0'
2993,b'0'
623,b'0'
373,b'0'
5154,b'0'
3941,b'0'
3007,b'0'
133,b'0'
4055,b'0'
5615,b'1'
1368,b'0'
5906,b'1'
626,b'0'
3551,b'0'
5435,b'0'
56,b'0'
5862,b'1'
2143,b'0'
3976,b'0'
3884,b'0'
2427,b'0'
1687,b'0'
1470,b'0'
3488,b'0'
3966,b'0'
4192,b'0'
1286,b'0'
4750,b'0'
5312,b'0'
1079,b'0'
4457,b'0'
4658,b'0'
1206,b'0'
406,b'0'
4765,b'0'
3293,b'0'
2820,b'0'
5570,b'1'
421,b'0'
3109,b'0'
469,b'0'
4686,b'0'
2189,b'0'
2651,b'0'
2619,b'0'
5032,b'0'
2983,b'0'
4458,b'0'
359,b'0'
5296,b'0'
1531,b'0'
4148,b'0'
704,b'0'
5628,b'1'
3707,b'0'
3513,b'0'
1038,b'0'
5621,b'1'
402,b'0'
1085,b'0'
627,b'0'
2808,b'0'
4633,b'0'
57,b'0'
5878,b'1'
5445,b'0'
1184,b'0'
2422,b'0'
5461,b'0'
307,b'0'
1092,b'0'
5132,b'0'
3221,b'0'
3813,b'0'
5612,b'1'
768,b'0'
2405,b'0'
1402,b'0'
2977,b'0'
3993,b'0'
2141,b'0'
5151,b'0'
2184,b'0'
3981,b'0'
5056,b'0'
5018,b'0'
4151,b'0'
937,b'0'
4980,b'0'
2544,b'0'
552,b'0'
2408,b'0'
2087,b'0'
2545,b'0'
4207,b'0'
219,b'0'
2784,b'0'
5159,b'0'
2171,b'0'
174,b'0'
2659,b'0'
2880,b'0'
3713,b'0'
688,b'0'
4069,b'0'
1266,b'0'
1797,b'0'
2126,b'0'
3120,b'0'
1942,b'0'
3141,b'0'
2476,b'0'
947,b'0'
4582,b'0'
4958,b'0'
2449,b'0'
4714,b'0'
4490,b'0'
1404,b'0'
1039,b'0'
3063,b'0'
1267,b'0'
267,b'0'
4843,b'0'
3490,b'0'
4511,b'0'
792,b'0'
660,b'0'
4086,b'0'
1891,b'0'
2950,b'0'
2241,b'0'
4355,b'0'
3613,b'0'
778,b'0'
1422,b'0'
25,b'0'
1496,b'0'
1467,b'0'
4908,b'0'
1354,b'0'
3114,b'0'
3052,b'0'
4967,b'0'
1836,b'0'
1396,b'0'
2472,b'0'
3343,b'0'
3443,b'0'
263,b'0'
4918,b'0'
1004,b'0'
260,b'0'
152,b'0'
3824,b'0'
2384,b'0'
4162,b'0'
1573,b'0'
3463,b'0'
3800,b'0'
1933,b'0'
1822,b'0'
840,b'0'
607,b'0'
3295,b'0'
5626,b'1'
2252,b'0'
2720,b'0'
2915,b'0'
5146,b'0'
2852,b'0'
4,b'0'
3483,b'0'
2795,b'0'
360,b'0'
3073,b'0'
4808,b'0'
1533,b'0'
3879,b'0'
3173,b'0'
1884,b'0'
3691,b'0'
745,b'0'
3974,b'0'
2303,b'0'
244,b'0'
4200,b'0'
4191,b'0'
946,b'0'
3445,b'0'
3019,b'0'
3186,b'0'
4513,b'0'
2896,b'0'
2667,b'0'
3654,b'0'
3860,b'0'
1044,b'0'
5852,b'1'
4517,b'0'
2845,b'0'
165,b'0'
4371,b'0'
2249,b'0'
543,b'0'
1458,b'0'
462,b'0'
4700,b'0'
993,b'0'
5548,b'1'
4554,b'0'
2339,b'0'
1083,b'0'
3952,b'0'
2113,b'0'
5057,b'0'
5601,b'1'
1673,b'0'
2309,b'0'
1062,b'0'
5553,b'1'
3103,b'0'
5833,b'1'
1,b'0'
3124,b'0'
1849,b'0'
4025,b'0'
3284,b'0'
4006,b'0'
4549,b'0'
4573,b'0'
3517,b'0'
2140,b'0'
1477,b'0'
998,b'0'
2912,b'0'
5707,b'1'
3335,b'0'
2957,b'0'
362,b'0'
2873,b'0'
3671,b'0'
3144,b'0'
3296,b'0'
326,b'0'
4008,b'0'
102,b'0'
1925,b'0'
5426,b'0'
90,b'0'
3297,b'0'
3461,b'0'
3911,b'0'
5074,b'0'
4598,b'0'
4166,b'0'
4557,b'0'
3329,b'0'
5469,b'0'
3135,b'0'
4814,b'0'
3059,b'0'
2401,b'0'
1204,b'0'
1950,b'0'
5,b'0'
2776,b'0'
5113,b'0'
269,b'0'
5077,b'0'
2396,b'0'
5564,b'1'
323,b'0'
184,b'0'
5084,b'0'
2386,b'0'
5110,b'0'
1937,b'0'
5336,b'0'
4884,b'0'
763,b'0'
2995,b'0'
2587,b'0'
2613,b'0'
1893,b'0'
3081,b'0'
493,b'0'
4302,b'0'
312,b'0'
1775,b'0'
394,b'0'
2152,b'0'
4928,b'0'
1386,b'0'
1729,b'0'
1887,b'0'
4595,b'0'
1465,b'0'
982,b'0'
700,b'0'
557,b'0'
2533,b'0'
1785,b'0'
4117,b'0'
3699,b'0'
936,b'0'
1355,b'0'
2569,b'0'
2179,b'0'
2269,b'0'
1717,b'0'
3525,b'0'
2279,b'0'
262,b'0'
5376,b'0'
612,b'0'
1329,b'0'
4329,b'0'
1125,b'0'
338,b'0'
2335,b'0'
3956,b'0'
2082,b'0'
706,b'0'
759,b'0'
3438,b'0'
5096,b'0'
1783,b'0'
2144,b'0'
1091,b'0'
897,b'0'
648,b'0'
2267,b'0'
5273,b'0'
904,b'0'
5423,b'0'
3375,b'0'
5866,b'1'
3962,b'0'
506,b'0'
5507,b'1'
1916,b'0'
3379,b'0'
5773,b'1'
1419,b'0'
2787,b'0'
3339,b'0'
932,b'0'
3263,b'0'
4176,b'0'
1940,b'0'
1939,b'0'
3266,b'0'
4478,b'0'
4271,b'0'
5157,b'0'
1795,b'0'
3150,b'0'
1806,b'0'
4823,b'0'
1097,b'0'
1165,b'0'
2010,b'0'
2771,b'0'
5135,b'0'
2421,b'0'
1258,b'0'
5720,b'1'
560,b'0'
4101,b'0'
1980,b'0'
115,b'0'
3475,b'0'
3129,b'0'
5799,b'1'
671,b'0'
5533,b'1'
4611,b'0'
3571,b'0'
5240,b'0'
4799,b'0'
2415,b'0'
3140,b'0'
4415,b'0'
116,b'0'
37,b'0'
4589,b'0'
299,b'0'
989,b'0'
5267,b'0'
4730,b'0'
3210,b'0'
3810,b'0'
5629,b'1'
2399,b'0'
4324,b'0'
4264,b'0'
3861,b'0'
5250,b'0'
5206,b'0'
5756,b'1'
3859,b'0'
2952,b'0'
2913,b'0'
1124,b'0'
5265,b'0'
755,b'0'
1583,b'0'
1812,b'0'
941,b'0'
4368,b'0'
1080,b'0'
3559,b'0'
3522,b'0'
456,b'0'
2528,b'0'
3703,b'0'
4146,b'0'
127,b'0'
3164,b'0'
4538,b'0'
69,b'0'
3519,b'0'
355,b'0'
1869,b'0'
1557,b'0'
5772,b'1'
2001,b'0'
2942,b'0'
922,b'0'
3377,b'0'
1900,b'0'
5682,b'1'
3458,b'0'
3798,b'0'
4472,b'0'
5327,b'0'
2724,b'0'
5458,b'0'
822,b'0'
1042,b'0'
1685,b'0'
1844,b'0'
5325,b'0'
2149,b'0'
877,b'0'
1715,b'0'
4641,b'0'
1582,b'0'
835,b'0'
2972,b'0'
2615,b'0'
3102,b'0'
2839,b'0'
387,b'0'
3843,b'0'
148,b'0'
2381,b'0'
2646,b'0'
2344,b'0'
4477,b'0'
1969,b'0'
3506,b'0'
5576,b'1'
5271,b'0'
4720,b'0'
780,b'0'
1443,b'0'
1161,b'0'
2207,b'0'
1607,b'0'
1176,b'0'
4926,b'0'
4304,b'0'
4576,b'0'
3757,b'0'
1672,b'0'
2077,b'0'
4775,b'0'
1832,b'0'
5670,b'1'
678,b'0'
289,b'0'
1546,b'0'
5414,b'0'
1780,b'0'
1213,b'0'
3456,b'0'
3895,b'0'
4803,b'0'
4565,b'0'
414,b'0'
246,b'0'
4097,b'0'
4199,b'0'
5813,b'1'
2586,b'0'
5900,b'1'
1912,b'0'
1456,b'0'
112,b'0'
738,b'0'
1855,b'0'
1771,b'0'
1911,b'0'
3153,b'0'
708,b'0'
4064,b'0'
1249,b'0'
721,b'0'
5198,b'0'
5255,b'0'
5581,b'1'
2863,b'0'
824,b'0'
3538,b'0'
5331,b'0'
1935,b'0'
5585,b'1'
1791,b'0'
2745,b'0'
900,b'0'
5439,b'0'
3748,b'0'
2005,b'0'
3013,b'0'
559,b'0'
1350,b'0'
2079,b'0'
2191,b'0'
3207,b'0'
4687,b'0'
1064,b'0'
5560,b'1'
5411,b'0'
966,b'0'
225,b'0'
5239,b'0'
2262,b'0'
4033,b'0'
1967,b'0'
2068,b'0'
5400,b'0'
1378,b'0'
2228,b'0'
5258,b'0'
4727,b'0'
4693,b'0'
977,b'0'
1224,b'0'
645,b'0'
4962,b'0'
5124,b'0'
2683,b'0'
3091,b'0'
118,b'0'
416,b'0'
5806,b'1'
4108,b'0'
4947,b'0'
4349,b'0'
92,b'0'
4059,b'0'
4023,b'0'
1031,b'0'
2357,b'0'
3963,b'0'
3938,b'0'
4243,b'0'
2156,b'0'
3781,b'0'
5857,b'1'
5244,b'0'
4334,b'0'
2322,b'0'
4257,b'0'
4001,b'0'
831,b'0'
1781,b'0'
2130,b'0'
5645,b'1'
2060,b'0'
5685,b'1'
5332,b'0'
1903,b'0'
5788,b'1'
3743,b'0'
4317,b'0'
3098,b'0'
515,b'0'
4604,b'0'
2448,b'0'
3394,b'0'
5360,b'0'
867,b'0'
199,b'0'
4106,b'0'
5644,b'1'
5052,b'0'
2698,b'0'
551,b'0'
1000,b'0'
5166,b'0'
2059,b'0'
5647,b'1'
3901,b'0'
1535,b'0'
5561,b'1'
60,b'0'
4114,b'0'
1907,b'0'
122,b'0'
370,b'0'
4079,b'0'
593,b'0'
4910,b'0'
2639,b'0'
1730,b'0'
3354,b'0'
1360,b'0'
120,b'0'
3380,b'0'
5522,b'1'
1261,b'0'
2878,b'0'
5864,b'1'
2624,b'0'
2581,b'0'
2560,b'0'
3131,b'0'
844,b'0'
4379,b'0'
5232,b'0'
864,b'0'
4836,b'0'
735,b'0'
2518,b'0'
1978,b'0'
4578,b'0'
769,b'0'
945,b'0'
1312,b'0'
3523,b'0'
1483,b'0'
236,b'0'
5820,b'1'
1671,b'0'
3074,b'0'
5274,b'0'
2542,b'0'
1947,b'0'
5078,b'0'
4232,b'0'
2665,b'0'
169,b'0'
3245,b'0'
3722,b'0'
1732,b'0'
3357,b'0'
5172,b'0'
4102,b'0'
2886,b'0'
4291,b'0'
5646,b'1'
1663,b'0'
348,b'0'
5014,b'0'
4716,b'0'
3819,b'0'
5248,b'0'
5500,b'1'
804,b'0'
4896,b'0'
2555,b'0'
1345,b'0'
3473,b'0'
4533,b'0'
5207,b'0'
4536,b'0'
1712,b'0'
3914,b'0'
5322,b'0'
3197,b'0'
1304,b'0'
5804,b'1'
341,b'0'
5452,b'0'
890,b'0'
4062,b'0'
1676,b'0'
4622,b'0'
200,b'0'
1991,b'0'
177,b'0'
3149,b'0'
2911,b'0'
868,b'0'
790,b'0'
4343,b'0'
2360,b'0'
3142,b'0'
5401,b'0'
2041,b'0'
4772,b'0'
788,b'0'
5127,b'0'
3730,b'0'
1699,b'0'
5658,b'1'
5740,b'1'
1750,b'0'
5552,b'1'
908,b'0'
4671,b'0'
4189,b'0'
1020,b'0'
5755,b'1'
3484,b'0'
1602,b'0'
1242,b'0'
4487,b'0'
1131,b'0'
400,b'0'
86,b'0'
3563,b'0'
3018,b'0'
923,b'0'
1963,b'0'
5298,b'0'
4969,b'0'
1499,b'0'
4259,b'0'
1391,b'0'
3868,b'0'
1915,b'0'
963,b'0'
374,b'0'
5003,b'0'
4495,b'0'
4651,b'0'
3494,b'0'
3591,b'0'
5822,b'1'
3831,b'0'
4052,b'0'
3567,b'0'
2678,b'0'
5292,b'0'
854,b'0'
3527,b'0'
2063,b'0'
1817,b'0'
1895,b'0'
5875,b'1'
3326,b'0'
950,b'0'
393,b'0'
614,b'0'
1406,b'0'
4905,b'0'
3991,b'0'
4545,b'0'
3317,b'0'
1877,b'0'
5904,b'1'
956,b'0'
2331,b'0'
3990,b'0'
2109,b'0'
276,b'0'
698,b'0'
5016,b'0'
4132,b'0'
4093,b'0'
692,b'0'
2398,b'0'
1139,b'0'
4968,b'0'
32,b'0'
3449,b'0'
146,b'0'
2648,b'0'
1027,b'0'
4407,b'0'
5305,b'0'
2292,b'0'
5022,b'0'
3761,b'0'
1845,b'0'
5608,b'1'
4338,b'0'
1453,b'0'
5673,b'1'
5108,b'0'
1759,b'0'
1230,b'0'
4957,b'0'
5695,b'1'
1725,b'0'
4174,b'0'
4467,b'0'
511,b'0'
1240,b'0'
4985,b'0'
561,b'0'
5490,b'0'
4075,b'0'
279,b'0'
2374,b'0'
762,b'0'
1367,b'0'
2558,b'0'
2819,b'0'
3688,b'0'
1494,b'0'
2841,b'0'
1873,b'0'
3896,b'0'
1828,b'0'
361,b'0'
4900,b'0'
3776,b'0'
4759,b'0'
1846,b'0'
503,b'0'
1302,b'0'
3157,b'0'
3228,b'0'
2652,b'0'
1921,b'0'
5858,b'1'
2393,b'0'
5613,b'1'
675,b'0'
1144,b'0'
4118,b'0'
4426,b'0'
4133,b'0'
124,b'0'
3113,b'0'
1731,b'0'
1364,b'0'
3070,b'0'
4468,b'0'
3056,b'0'
1799,b'0'
4461,b'0'
1760,b'0'
1604,b'0'
4811,b'0'
1190,b'0'
784,b'0'
3067,b'0'
4046,b'0'
5073,b'0'
1219,b'0'
2979,b'0'
1469,b'0'
1327,b'0'
5228,b'0'
4525,b'0'
1742,b'0'
5586,b'1'
4618,b'0'
3723,b'0'
254,b'0'
880,b'0'
221,b'0'
2213,b'0'
800,b'0'
4547,b'0'
3212,b'0'
1922,b'0'
1238,b'0'
3601,b'0'
3579,b'0'
3341,b'0'
5902,b'1'
1296,b'0'
2681,b'0'
1827,b'0'
4378,b'0'
2311,b'0'
1998,b'0'
2844,b'0'
849,b'0'
1370,b'0'
5169,b'0'
4479,b'0'
4090,b'0'
3918,b'0'
3593,b'0'
